Rank,TRACT_ID
1,107701
2,118700
3,103400
5,103500
4,109301
7,107802
6,104100
8,119100
10,103300
9,108701
13,104200
12,103602
11,103100
14,103900
15,101901
21,101200
37,101101
20,101800
18,108301
17,103800
16,119502
22,118301
24,118800
25,104300
28,115200
27,118602
38,119202
56,104400
33,102900
34,115400
26,118900
29,104600
57,118101
32,108201
30,115300
40,107101
19,102700
23,119402
36,115100
60,116400
62,980100
31,108400
39,151800
45,151700
35,112301
67,111401
51,118200
49,150300
61,111202
41,113101
81,109701
50,151500
103,113600
46,119300
54,114900
47,118500
76,151400
77,150400
43,119701
136,109801
42,104900
63,112600
216,161200
58,111700
82,113500
65,111800
44,123501
66,111902
48,102402
52,118400
137,110501
138,114100
110,101501
249,161400
250,161300
251,161500
53,151600
95,151300
100,110901
64,102800
196,161700
69,106300
168,113801
83,150100
70,111600
253,161600
71,111500
90,101700
91,196500
59,119702
178,161800
154,114600
123,104800
68,105300
55,119501
105,123502
173,114700
85,123900
98,123200
78,112800
191,114300
86,119401
106,112200
75,106200
97,116600
73,106400
94,101102
74,106600
72,102300
101,116100
84,116500
79,106800
113,110801
93,119600
92,151100
111,120200
112,101300
96,112500
122,116800
102,105602
139,114501
80,112100
155,123603
104,101603
179,141100
87,115800
99,112400
254,160400
143,124201
132,106100
156,123601
148,105100
117,119800
114,120400
119,117201
88,105500
89,105400
115,101400
125,120500
109,105900
218,160900
217,161100
182,141000
121,120600
118,121100
107,115700
200,160601
130,102401
126,120701
127,121500
140,120802
255,160602
128,121200
242,161000
135,120702
144,127501
108,117600
134,105700
256,140600
116,124100
159,106500
141,116900
142,117101
129,124300
124,102101
133,102200
162,123100
169,123400
157,124500
131,121401
145,117500
146,120801
153,116300
149,117102
120,106900
257,160500
147,117202
160,117700
151,116200
150,117300
158,116700
176,123602
152,117400
258,160200
260,160100
177,123800
161,124202
201,181100
164,183603
163,192800
165,117900
204,141200
192,141300
170,183402
175,121700
261,160300
166,122100
167,121900
171,124600
172,115900
193,152400
184,102102
174,122200
181,119900
198,183401
219,152501
195,153107
197,154400
194,183100
262,140702
185,196100
186,121300
208,181203
187,121403
188,122300
202,177303
199,123700
190,154700
211,137102
210,107000
189,117800
230,160700
205,154100
221,141400
209,154300
212,196400
235,177202
203,121800
223,183604
207,153105
252,160800
224,177304
263,140900
180,196000
183,151200
214,188104
206,981100
213,152701
231,154200
215,152702
220,181201
227,181204
222,171103
236,137103
226,188103
234,140701
237,153106
229,126100
238,183606
228,140100
239,183605
233,171104
232,137101
243,192300
241,134100
247,138106
264,185201
240,153103
246,154601
244,138105
265,187103
245,980500
225,140301
266,185202
248,152703
259,153104
267,140800
268,141602
269,187105
270,140302
271,185103
272,185203
273,140400
274,140500
275,185102
276,130106
277,177501
278,178201
279,152502
280,189107
281,187104
282,177104
283,178102
284,177302
285,189105
286,182103
287,154501
288,141700
289,178204
290,177101
291,152102
292,152101
293,154603
294,185104
295,171203
296,177406
297,177201
298,182104
299,182105
300,177103
301,183502
302,178205
303,178101
304,174107
305,141601
306,141500
307,183200
308,183501
309,171102
310,185101
311,177404
312,177403
313,154502
314,174207
315,193800
316,152202
317,177405
318,172102
319,178206
320,172202
321,172201
322,189112
323,154604
324,174106
325,152603
326,183300
327,171206
328,171205
329,131102
330,133103
331,187106
332,171204
333,193900
334,172101
335,174206
336,173104
337,134300
338,174105
339,196200
340,152201
341,152303
342,152302
343,152301
344,188106
345,152604
346,172103
347,188105
348,138110
349,138109
350,170102
351,177606
352,132301
353,188107
354,132100
355,155102
356,131103
357,130105
358,192900
359,170202
360,177604
361,170101
362,170201
363,194300
364,173103
365,194500
366,174205
367,134204
368,134203
369,194900
370,132200
371,177608
372,173106
373,130103
374,194100
375,133104
376,134206
377,130104
378,173107
379,173105
380,176200
381,189109
382,189108
383,174104
384,180104
385,132302
386,155101
387,138108
388,138107
389,190503
390,189110
391,195800
392,131104
393,177607
394,177605
395,189111
396,180102
397,195600
398,174203
399,186106
400,174103
401,176100
402,174204
403,134205
404,196300
405,194800
406,190502
407,190504
408,184104
409,184103
410,179101
411,180103
412,156101
413,186206
414,186104
415,186205
416,195700
417,177504
418,177503
419,136101
420,175106
421,175105
422,186203
423,186202
424,184108
425,184106
426,184105
427,177609
428,186105
429,175104
430,186201
431,179102
432,186103
433,156102
434,175202
435,175201
436,195900
437,177505
438,182106
439,175103
440,136102
441,186107
442,135103
443,136103
444,135104
445,135106
446,135105
